Model	df	logLik	AIC	AICw	AICc	AICcw	BIC
JC	15	-13718.6682147491	27467.3364294982	3.16194013636286e-111	27467.4010150741	3.28106306559896e-111	27571.0719417825
JC+I	16	-13639.5444136767	27311.0888273534	2.68342433802569e-77	27311.1620341897	2.77254246231941e-77	27421.7400404567
JC+G(4)	16	-13649.7244270854	27331.4488541709	1.01757330527963e-81	27331.5220610071	1.05136752224816e-81	27442.1000672742
JC+G(4)+I	17	-13638.5508981277	27311.1017962554	2.66608009917978e-77	27311.1841650306	2.74203222978062e-77	27428.6687101776
F81	18	-13616.2113354731	27268.4226709461	4.93773183816707e-68	27268.5147425574	5.05382172780115e-68	27392.9052856873
F81+I	19	-13536.4590835758	27110.9181671516	7.85589982178959e-34	27111.0204827143	7.99951963767904e-34	27242.3164827118
F81+G(4)	19	-13546.9347613144	27131.8695226288	2.21649573841939e-38	27131.9718381915	2.25701722126577e-38	27263.267838189
F81+G(4)+I	20	-13535.3283848983	27110.6567697966	8.95277461100329e-34	27110.7698706449	9.06741782285689e-34	27248.9707861758
K80	16	-13654.1451172188	27340.2902344376	1.2237265262331e-83	27340.3634412739	1.26436721474478e-83	27450.9414475409
K80+I	17	-13574.8193769807	27183.6387539615	1.27092859331177e-49	27183.7211227367	1.30713520785919e-49	27301.2056678837
K80+G(4)	17	-13584.9648226737	27203.9296453474	4.98896054842482e-54	27204.0120141226	5.13108762977282e-54	27321.4965592697
K80+G(4)+I	18	-13573.5284459242	27183.0568918484	1.70008604697782e-49	27183.1489634597	1.74005638316266e-49	27307.5395065897
HKY	19	-13549.7548197677	27137.5096395353	1.32108595592812e-39	27137.6119550981	1.34523775598523e-39	27268.9079550955
HKY+I	20	-13469.587366635	26979.17473327	3.18360455635048e-05	26979.2878341182	3.22437165565433e-05	27117.4887496491
HKY+G(4)	20	-13480.0883028806	27000.1766057611	8.75831279015905e-10	27000.2897066094	8.87046585469038e-10	27138.4906221403
HKY+G(4)+I	21	-13468.0810774596	26978.1621549192	5.28199167899035e-05	26978.2865826057	5.31941775099094e-05	27123.3918721173
TrNe	17	-13653.1381327573	27340.2762655146	1.2323035150446e-83	27340.3586342898	1.26740976618212e-83	27457.8431794368
TrNe+I	18	-13573.6776774192	27183.3553548385	1.46440258959951e-49	27183.4474264497	1.49883182564923e-49	27307.8379695797
TrNe+G(4)	18	-13583.8874915219	27203.7749830438	5.39007194624321e-54	27203.8670546551	5.51679670122533e-54	27328.257597785
